 	test_breast	test_diabetes	test_glass	test_liver	test_pendigits	test_shape	test_vowel
pray4-l01.csv
means_max_values	0.695286195286	0.719618055556	0.451617110068	0.63574879227	0.758295525309	0.204674275953	0.235353535353
std_max_values	0.204888103076	0.0467028813397	0.0660464798014	0.0603149334686	0.0472610140296	0.0783290771509	0.0311620663655
pray4-l05.csv
means_max_values	0.784511784512	0.726996527778	0.523691531908	0.669565217391	0.789653945378	0.562854258871	0.309764309764
std_max_values	0.0446762778105	0.027513732564	0.066889356003	0.0238140242393	0.0228840992939	0.0765991385329	0.0311170137388
pray4-l10.csv
means_max_values	0.79797979798	0.731770833333	0.590440792905	0.682125603865	0.836313495241	0.685418122525	0.352188552189
std_max_values	0.0519367772758	0.0250122040525	0.0369678200787	0.0199768822496	0.0241227788385	0.109924152458	0.0239938858994
pray4-l25.csv
means_max_values	0.801346801347	0.744791666667	0.61687097896	0.691787439613	0.884129525843	0.816639490644	0.47138047138
std_max_values	0.0481787475463	0.0169145586677	0.0344549199868	0.0278773682056	0.014742865008	0.0502251474041	0.0354400096826
pray4-l50.csv
means_max_values	0.814814814815	0.756076388889	0.651256303252	0.714009661836	0.920024908816	0.862372855035	0.545454545455
std_max_values	0.044029282258	0.023283274404	0.0301694277512	0.0231884057971	0.00842048175318	0.0683377873788	0.0234726263406
pray4-l75.csv
means_max_values	0.819865319865	0.767361111111	0.687054425317	0.728502415459	0.939863001512	0.889471232238	0.617171717172
std_max_values	0.0543369565438	0.01748140831	0.0356694533185	0.0224988039075	0.00396689791728	0.044472810896	0.0189242363587
pray4-l100.csv
means_max_values	0.833333333333	0.766059027778	0.691662319597	0.731400966184	0.949292767547	0.901933379921	0.654882154882
std_max_values	0.0448187862355	0.0112951507636	0.0288168144963	0.0140512459634	0.0051926027905	0.0440456038284	0.0201261200454
